"['2959', 'abby-gogo', 'Abby Gogo']","['2958', 'abby-go-go', 'Abby Go Go']"
,
"['3060', 'abolsihment-of-flesh', 'Abolsihment of Flesh']","['3059', 'abolishment-of-flesh', 'Abolishment of Flesh']"
,
,
,
,
"['3420', 'acoustic-syndicate', 'Acoustic Syndicate']","['3419', 'acoustic-sydicate', 'Acoustic Sydicate']"
"['3450', 'across-the-atlantic', 'Across The Atlantic']","['3449', 'across-the-atlanic', 'Across The Atlanic ']"
"['3713', 'adam-rogers', 'Adam Rogers']","['3712', 'adam-rodgers', 'Adam Rodgers']"
,
,
,
"['4346', 'agelss-oblivion', 'Agelss Oblivion ']","['4345', 'ageless-oblivion', 'Ageless Oblivion']"
,
"['2219', 'aj-davila-y-terror-amor', 'AJ Davila y Terror Amor']","['2218', 'aj-davila-terror-amor', 'AJ Davila & Terror Amor']"
"['2246', 'aj-vincet', 'AJ Vincet']","['2245', 'aj-vincent', 'AJ Vincent']"
"['2264', 'aka-aka-ft-thalstroem', 'AKA AKA ft. Thalstroem']","['4637', 'aka-aka-feat-thalstroem', 'Aka Aka feat. Thalstroem']"
"['4712', 'akshanmusic', 'AkshanMusic']","['4711', 'akshan-music', 'Akshan Music']"
"['4763', 'al-scortch', 'Al Scortch']","['4762', 'al-scorch', 'Al Scorch']"
"['4786', 'alabaster-deplume', 'Alabaster Deplume']","['15', 'alabaster-de-plume', ' Alabaster De Plume']"
"['4795', 'alain-asplanato', 'Alain Asplanato']","['4794', 'alain-asplanao', 'Alain Asplanao']"
"['4810', 'alain-ruat', 'Alain Ruat']","['4809', 'alain-ruart', 'Alain Ruart']"
"['4880', 'alan-merrill', 'Alan Merrill']","['4879', 'alan-merril', 'Alan Merril']"
,
"['5067', 'alea-jacta-est', 'Alea Jacta Est']","['5066', 'alea-jact-est', 'Alea Jact Est']"
"['5118', 'alekhines-gun', 'Alekhines Gun ']","['5117', 'alekhine-s-gun', ""Alekhine's Gun""]"
,
,
,
,
,
"['5749', 'alice-coopers-nightmare', 'Alice Coopers Nightmare']","['5748', 'alice-cooper-s-nightmare', ""Alice Cooper's Nightmare""]"
"['5837', 'alina-devecerski', 'Alina Devecerski']","['5836', 'alina-decvecerski', 'Alina Decvecerski']"
"['5869', 'alison-krause-union-station', 'Alison Krause & Union Station']","['5868', 'alison-kraus-union-station', 'Alison Kraus & Union Station']"
"['5918', 'alkaline-trio', 'Alkaline Trio']","['5917', 'alkaline-tio', 'Alkaline Tio']"
"['5955', 'all-changes-apply', 'All Changes Apply']","['5954', 'all-change-apply', 'All Change Apply']"
"['6091', 'all-tomorrows-petty', 'All Tomorrows Petty']","['6090', 'all-tomorrow-s-petty', ""All Tomorrow's Petty""]"
"['6144', 'allah-las', 'Allah-Las']","['6143', 'allah-lahs', 'Allah-Lahs']"
"['2356', 'allegeaeon', 'ALLEGEAEON']","['6175', 'allegaeon', 'Allegaeon']"
"['6176', 'allegeaon', 'Allegeaon']","['2356', 'allegeaeon', 'ALLEGEAEON']"
"['6209', 'allen-watts-b2b-jak-aggas', 'Allen Watts B2B Jak Aggas']","['6208', 'allen-watts-b2b-jack-aggas', 'Allen Watts B2B Jack Aggas']"
"['6496', 'alter-der-ruine', 'Alter Der Ruine']","['6495', 'alter-der-ruin', 'Alter Der Ruin']"
"['6640', 'alyssandra-nighswonger', 'Alyssandra Nighswonger']","['6639', 'alyssandra-nighswonder', 'Alyssandra Nighswonder']"
,
"['6714', 'amanda-lynne', 'Amanda Lynne']","['6713', 'amanda-lynn', 'Amanda Lynn']"
"['6780', 'amaury-filliard', 'Amaury Filliard']","['6779', 'amaury-filiard', 'Amaury Filiard']"
,
"['6980', 'american-headcharge', 'American Headcharge']","['6979', 'american-head-charge', 'American Head Charge']"
,
,
,
,
,
,
"['7312', 'amy-konsari', 'Amy Konsari']","['7311', 'amy-khonsari', 'Amy Khonsari']"
,
,
,
,
,
"['323', 'and-you-will-know-us-by-the-trail-of-the-dead', '...And You Will Know Us By The Trail Of The Dead']","['324', 'and-you-will-know-us-by-the-trail-of-dead', '...And You Will Know Us by the Trail of Dead']"
"['320', 'and-you-will-know-us-by-the-trail-of-the-deas', '.....And You Will Know Us By the Trail of the Deas']","['323', 'and-you-will-know-us-by-the-trail-of-the-dead', '...And You Will Know Us By The Trail Of The Dead']"
"['7667', 'andersonpontyband', 'AndersonPontyband']","['7666', 'andersonponty-band', 'AndersonPonty Band']"
"['2437', 'andre-galluzzi', 'ANDRE GALLUZZI']","['174746', 'andre-galluzi', 'andre galluzi']"
"['7709', 'andre-galuzzi', 'Andre Galuzzi']","['2437', 'andre-galluzzi', 'ANDRE GALLUZZI']"
"['7728', 'andrea-bazzicalupo', 'Andrea Bazzicalupo']","['7727', 'andrea-bazzcalupo', 'Andrea Bazzcalupo']"
"['7841', 'andres-rotmistrovsky', 'Andres Rotmistrovsky']","['7840', 'andres-rotmistrovksy', 'Andres Rotmistrovksy']"
,
"['7951', 'andrew-mcmahon-in-the-wilderness', 'Andrew McMahon in the Wilderness']","['7950', 'andrew-mcmahon-and-the-wilderness', 'Andrew McMahon and the Wilderness ']"
"['7949', 'andrew-mcmahon-the-wilderness', 'Andrew McMahon & the Wilderness']","['7951', 'andrew-mcmahon-in-the-wilderness', 'Andrew McMahon in the Wilderness']"
"['7964', 'andrew-o-neill', ""Andrew O'Neill""]","['7963', 'andrew-o-neil', ""Andrew O'Neil""]"
"['8074', 'andy-the-pandys', 'Andy & The Pandys']","['8073', 'andy-the-pandy-s', ""Andy & The Pandy's""]"
"['8249', 'andy-thorn-of-leftover-salmon', 'Andy Thorn of Leftover Salmon']","['8248', 'andy-thorn-leftover-salmon', 'Andy Thorn (Leftover Salmon)']"
"['8258', 'andy-warpigs', 'Andy Warpigs']","['8257', 'andy-war-pigs', 'Andy War pigs']"
"['8408', 'angelo-debatrre', 'Angelo Debatrre']","['8407', 'angelo-debarre', 'Angelo Debarre']"
,
"['8501', 'angus-and-julia-stoned', 'Angus And Julia Stoned']","['8507', 'angus-and-julia-stone', 'Angus and Julia Stone']"
"['8574', 'animals-killing-people', 'Animals Killing People']","['8573', 'animals-kiiling-people', 'Animals Kiiling People']"
"['8767', 'annabelles-curse', 'Annabelle\xe2\x80\x99s Curse']","['8766', 'annabelle-s-curse', ""Annabelle's Curse""]"
"['8947', 'another-vendettat', 'Another Vendettat']","['8946', 'another-vendetta', 'Another Vendetta']"
"['9035', 'anthony-attalla', 'Anthony Attalla']","['9034', 'anthony-atalla', 'Anthony Atalla']"
"['9053', 'anthony-dacosta', 'Anthony DaCosta']","['9132', 'anthony-da-costa', 'Anthony da Costa']"
,
"['9188', 'antilopengang', 'Antilopengang']","['9187', 'antilopen-gang', 'Antilopen Gang']"
"['9224', 'antoine-favennec', 'Antoine Favennec']","['9223', 'antoine-favenec', 'Antoine Favenec']"
"['9258', 'antonella-lucia', 'Antonella Lucia']","['9257', 'antonela-lucia', 'Antonela Lucia']"
"['9336', 'anwar-kurshid', 'Anwar Kurshid']","['9335', 'anwar-khurshid', 'Anwar Khurshid']"
"['9456', 'apocalyptica', 'Apocalyptica']","['9455', 'apocalyptic', 'Apocalyptic']"
"['9621', 'ara-malikian', 'Ara Malikian']","['9620', 'ara-mailikian', 'Ara Mailikian']"
"['9666', 'arbor-vitale', 'Arbor Vitale']","['9665', 'arbor-vitae', 'Arbor Vitae']"
"['9682', 'arc-d-angel', ""Arc'd Angel""]","['9681', 'arc-d-ange', ""Arc'd Ange""]"
,
"['9747', 'archibald-ligonnierre', 'Archibald Ligonnierre']","['9746', 'archibald-ligonierre', 'Archibald Ligonierre']"
"['9763', 'archie-watkins-the-smoky-mountain-reunion', 'Archie Watkins & The Smoky Mountain Reunion']","['9762', 'archie-watkins-smoky-mountain-reunion', 'Archie Watkins & Smoky Mountain Reunion']"
,
"['174625', 'arejayella', 'aReJayElla']","['174624', 'arejay-ella', 'aReJay Ella']"
"['9874', 'ari-lenox', 'Ari Lenox']","['9873', 'ari-lennox', 'Ari Lennox']"
"['9892', 'arianna-the-rose', 'Arianna & The Rose']","['9887', 'ariana-the-rose', 'Ariana & the Rose']"
"['9999', 'arlanfeiles', 'ArlanFeiles']","['9998', 'arlan-feiles', 'Arlan Feiles']"
"['10011', 'arlo-mckinney-the-lonesome-sound', 'Arlo McKinney & The Lonesome Sound']","['10010', 'arlo-mckinley-the-lonesome-sound', 'Arlo McKinley & The Lonesome Sound']"
,
,
"['10039', 'armed-for-apocaplypse', 'Armed For Apocaplypse']","['10041', 'armed-for-apocalypse', 'Armed for Apocalypse']"
"['10064', 'armored-saint', 'Armored Saint']","['10063', 'armored-sain', 'Armored Sain']"
"['10191', 'arsena-scroeder', 'Arsena Scroeder']","['10190', 'arsena-schroeder', 'Arsena Schroeder']"
"['10207', 'arsonits-get-all-the-girls', 'Arsonits get all the girls']","['10206', 'arsonists-get-all-the-girls', 'Arsonists Get All the Girls']"
"['10220', 'art-department', 'Art Department']","['10219', 'art-departement', 'Art Departement']"
"['10390', 'arturo-o-farrill-s-afro-latin-jazz-orchestra', ""Arturo O'Farrill's Afro Latin Jazz Orchestra""]","['10389', 'arturo-o-farrill-afro-latin-jazz-orchestra', ""Arturo O'Farrill Afro Latin Jazz Orchestra""]"
"['10428', 'as-animals-eat-my-insides', 'As Animals Eat My Insides']","['10427', 'as-animals-ate-my-insides', 'As Animals Ate My Insides']"
"['10487', 'as-these-last-seconds-excape', 'As These Last Seconds Excape']","['10486', 'as-these-last-seconds-escape', 'As These Last Seconds Escape']"
"['10491', 'as-thick-as-thieves', 'As Thick As Thieves']","['10490', 'as-thick-as-theives', 'As Thick As Theives']"
"['10586', 'asha-mccarthy', 'Asha McCarthy']","['10585', 'asha-mcarthy', 'Asha McArthy']"
,
"['10754', 'asking-alexandria', 'Asking Alexandria']","['10753', 'asking-alexandra', 'Asking Alexandra']"
"['10803', 'assailants', 'Assailants']","['10802', 'assailant', 'Assailant']"
"['10821', 'assholeparade', 'Assholeparade']","['10820', 'asshole-parade', 'Asshole Parade']"
"['10828', 'assuming-we-survive', 'Assuming We Survive']","['10827', 'assumin-we-survive', 'Assumin We Survive']"
"['10871', 'astrallion', 'AstralLion']","['10875', 'astralion', 'Astralion']"
"['10882', 'astreacorp', 'AstreaCorp']","['174793', 'astrea-corp', 'astrea corp']"
"['10947', 'at-daybreak', 'At Daybreak']","['10946', 'at-day-break', 'At Day Break']"
"['10980', 'at-the-skylines', 'At the Skylines']","['174794', 'at-the-skyines', 'at the skyines']"
"['2618', 'atmospheres', 'ATMOSPH\xc3\x88RES']","['11107', 'atmosphere', 'Atmosphere']"
"['11230', 'attila-the-huns', 'Attila & The Huns ']","['11232', 'attila-the-hun', 'Attila The Hun']"
"['11422', 'augie-myers', 'Augie Myers']","['11421', 'augie-meyers', 'Augie Meyers']"
,
"['11769', 'avengend-sevenfold', 'Avengend Sevenfold']","['11768', 'avenged-sevenfold', 'Avenged Sevenfold']"
"['11794', 'aversions-crown', 'Aversions Crown']","['11793', 'aversion-s-crown', ""Aversion's Crown""]"
"['11825', 'avid-dancers', 'Avid Dancers']","['11824', 'avid-dancer', 'Avid Dancer']"
"['11931', 'awkwafina', 'Awkwafina']","['11930', 'awkwafiina', 'Awkwafiina']"
"['12153', 'b-side-players', 'B-Side Players']","['12129', 'b-side-player', 'B*SIDE PLAYER']"
"['12975', 'baby-and-the-nobodies', 'Baby and the Nobodies']","['12238', 'baby-and-the-no-bodies', 'BABY AND THE NO BODIES']"
"['13013', 'back-alley-barbers', 'Back Alley Barbers']","['13012', 'back-alley-barabers', 'Back Alley Barabers']"
,
,
"['13257', 'bad-pollyanna', 'Bad Pollyanna']","['13256', 'bad-pollyana', 'Bad Pollyana']"
"['13263', 'bad-religion', 'Bad Religion']","['13262', 'bad-religiion', 'Bad Religiion']"
"['13362', 'bag-of-bones', 'Bag of Bones']","['13357', 'bag-o-bones', 'Bag O Bones']"
"['13432', 'bakalaostars', 'BakalaoStars']","['13431', 'bakalao-stars', 'Bakalao Stars']"
"['13531', 'ballsdeep', 'Ballsdeep']","['13530', 'balls-deep', 'Balls Deep']"
"['13601', 'banana-gunn', 'Banana Gunn']","['13600', 'banana-gun', 'Banana Gun']"
"['13662', 'banda-rullifrulli', 'Banda Rullifrulli']","['13661', 'banda-rulli-frulli', 'Banda Rulli Frulli']"
"['13786', 'baptiste-herrbin', 'Baptiste Herrbin']","['13785', 'baptiste-herbin', 'Baptiste HERBIN']"
,
,
"['13904', 'bare-the-travler', 'Bare the Travler']","['13903', 'bare-the-traveler', 'Bare the Traveler']"
"['13929', 'bargain-bin-heros', 'Bargain Bin Heros']","['13928', 'bargain-bin-heroes', 'Bargain Bin Heroes']"
"['13952', 'barleyjuice', 'Barleyjuice']","['13951', 'barley-juice', 'Barley Juice']"
"['14029', 'barrie-wilkins-neil-flemming', 'Barrie Wilkins & Neil Flemming']","['14028', 'barrie-wilkins-neil-fleming', 'Barrie Wilkins & Neil Fleming']"
"['13803', 'barroom-heros', 'BarRoom Heros']","['14043', 'barroom-heroes', 'Barroom Heroes']"
"['14109', 'barton-carroll', 'Barton Carroll']","['14108', 'barton-caroll', 'Barton Caroll']"
"['14147', 'basement-jaxx', 'Basement Jaxx']","['14146', 'basement-jax', 'Basement Jax']"
"['14224', 'bassel-and-the-supernaturals', 'Bassel and the Supernaturals']","['14223', 'bassel-and-the-super-naturals', 'Bassel and the Super Naturals']"
,
"['14313', 'bathhousebetty', 'BathHouseBetty']","['14316', 'bathhouse-betty', 'Bathhouse Betty']"
,
"['14780', 'beau-sasser-s-escape-plan', ""Beau Sasser's Escape Plan""]","['14778', 'beau-sasser-escape-plan', 'Beau Sasser Escape Plan']"
"['14885', 'becky-russell', 'Becky Russell']","['14884', 'becky-russel', 'Becky Russel']"
"['14923', 'bedroomtalk', 'Bedroomtalk']","['14921', 'bedroom-talk', 'Bedroom Talk']"
"['14946', 'beebs-and-her-moneymakers', 'Beebs and her Moneymakers']","['14945', 'beebs-and-her-money-makers', 'Beebs and Her Money Makers']"
"['14944', 'beebs-her-moneymakers', 'Beebs & Her Moneymakers']","['14943', 'beebs-her-money-makers', 'Beebs & Her Money Makers']"
"['15107', 'beitthemmeans', 'Beitthemmeans']","['15106', 'beitthemeans', 'Beitthemeans']"
"['15131', 'bela-b-feat-smokestack-ligthnin-peta-devlin', 'Bela B feat. Smokestack Ligthnin & Peta Devlin']","['15130', 'bela-b-feat-smokestack-lightnin-peta-devlin', ""Bela B feat. Smokestack Lightnin' & Peta Devlin""]"
,
"['15202', 'bella-s-bartok', ""Bella's Bartok""]","['15201', 'bella-s-bartock', ""Bella's Bartock""]"
"['15228', 'belle-noire', 'Belle Noire']","['15227', 'belle-noir', 'Belle Noir']"
"['15217', 'belle-sebatstian', 'Belle & Sebatstian ']","['15216', 'belle-sebastian', 'Belle & Sebastian']"
"['15259', 'bellringertx', 'BellringerTX']","['15258', 'bellringeratx', 'BellringerATX']"
"['15275', 'bellwhethers', 'Bellwhethers']","['15274', 'bellwethers', 'Bellwethers']"
"['15336', 'ben-ballinger', 'Ben Ballinger']","['15335', 'ben-balinger', 'Ben Balinger']"
"['15563', 'ben-stalets', 'Ben Stalets']","['15562', 'ben-stalet', 'Ben Stalet']"
"['15564', 'ben-statlets', 'Ben Statlets']","['15563', 'ben-stalets', 'Ben Stalets']"
"['15594', 'ben-williams', 'Ben Williams']","['15593', 'ben-william', 'Ben William ']"
,
"['15642', 'beneath-hells-sky', 'Beneath Hells Sky']","['15641', 'beneath-hell-s-sky', ""Beneath Hell's Sky""]"
"['15645', 'beneath-the-crown', 'Beneath The Crown']","['15658', 'beneath-the-crow', 'Beneath the Crow']"
"['15727', 'benjamin-francis-leftwich', 'Benjamin Francis Leftwich']","['15726', 'benjamin-francis-leftwhich', 'Benjamin Francis Leftwhich']"
"['15786', 'benno-bloome', 'Benno Bloome']","['15785', 'benno-blome', 'Benno Blome']"
"['15905', 'berliner-philharmoniker', 'Berliner Philharmoniker']","['15904', 'berliner-philharmonike', 'Berliner Philharmonike']"
"['15930', 'bernard-lavilliers', 'Bernard Lavilliers']","['15929', 'bernard-lavillers', 'Bernard Lavillers']"
"['15939', 'bernard-weidmann', 'Bernard Weidmann']","['15938', 'bernard-weidman', 'Bernard Weidman']"
,
"['16061', 'bet-me-im-lying', 'Bet Me Im Lying']","['16060', 'bet-me-i-m-lying', ""Bet Me I'm Lying""]"
"['16228', 'between-the-burried-and-me', 'Between the Burried and Me']","['16227', 'between-the-buried-and-me', 'Between the Buried and Me']"
"['12458', 'beyond-deth', 'BEYOND DETH']","['16277', 'beyond-de-th', 'Beyond De-th']"
"['16333', 'beyond-the-gates', 'Beyond the Gates']","['16332', 'beyond-the-gate', 'Beyond the Gate']"
"['16352', 'bhorelorde', 'Bhorelorde']","['16351', 'bhorelord', 'Bhorelord']"
"['16432', 'big-anton-the-alley-cats', 'Big Anton & the Alley Cats']","['16430', 'big-anton-the-alley-cat', 'Big Anton & The Alley Cat']"
"['16431', 'big-anton-the-alleycats', 'Big Anton & The Alleycats']","['16432', 'big-anton-the-alley-cats', 'Big Anton & the Alley Cats']"
,
"['12496', 'big-rig-dollhouse', 'BIG RIG DOLLHOUSE']","['174901', 'big-rig-doll-house', 'big rig doll house']"
"['16790', 'bigfoot-yancy', 'Bigfoot Yancy']","['16789', 'bigfoot-yancey', 'Bigfoot Yancey']"
,
"['16869', 'bill-evans-soulgrass', 'Bill Evans Soulgrass']","['16868', 'bill-evans-soul-grass', 'Bill Evans Soul Grass']"
"['16971', 'billy-bob-thorton-the-boxmasters', 'Billy Bob Thorton & The Boxmasters']","['16970', 'billy-bob-thornton-the-boxmasters', 'Billy Bob Thornton | The Boxmasters']"
"['12511', 'billy-boguard', 'BILLY BOGUARD']","['174910', 'billy-bogard', 'billy bogard']"
"['17113', 'billy-woods', 'Billy Woods']","['174914', 'billy-wood', 'billy wood']"
"['17161', 'binky-griptite', 'Binky Griptite']","['174916', 'binkey-griptite', 'binkey Griptite']"
"['174920', 'birdsmakingmaschine', 'birdsmakingmaschine']","['17265', 'birdsmakingmachine', 'BirdsMakingMachine']"
"['17301', 'birelli-lagrene', 'Bir\xc3\xa9lli Lagr\xc3\xa8ne']","['17300', 'bireli-lagrene', 'Bir\xc3\xa9li Lagr\xc3\xa8ne']"
,
"['17494', 'black-botton-lighters', 'Black Botton Lighters']","['17493', 'black-bottom-lighters', 'Black Bottom Lighters']"
,
,
,
,
,
"['17787', 'black-prarie', 'Black Prarie']","['17786', 'black-prairie', 'Black Prairie']"
,
,
,
,
,
,
"['17961', 'black-water-mountain', 'Black Water Mountain']","['17960', 'black-water-mounatin', 'Black Water Mounatin']"
"['17968', 'black-whisky', 'Black Whisky']","['17967', 'black-whiskey', 'Black Whiskey']"
"['174939', 'blackalicous', 'blackalicous']","['18017', 'blackalicious', 'Blackalicious']"
,
"['18028', 'blackberry-bushes-stringband', 'Blackberry Bushes Stringband']","['18027', 'blackberry-bushes-string-band', 'Blackberry Bushes String Band']"
,
"['18375', 'blaze-ya-dead-homie', 'Blaze- Ya Dead Homie']","['18371', 'blaze-ya-dead-homey', 'Blaze Ya Dead Homey']"
,
,
"['18574', 'blink-180true', 'Blink 180true']","['18573', 'blink-180-true', 'Blink 180-True']"
"['18607', 'blitzentrapper', 'BlitzenTrapper']","['18606', 'blitzen-trapper', 'Blitzen Trapper']"
"['18616', 'blizzard-of-ozz', 'Blizzard Of Ozz']","['18615', 'blizzard-of-oz', 'Blizzard Of Oz']"
,
"['18749', 'blood-on-the-dance-floor', 'Blood on the Dance Floor']","['174952', 'blood-on-the-dance-flooor', 'blood on the dance flooor']"
,
"['18859', 'blowdryer-punk-soul', 'Blowdryer Punk Soul']","['18858', 'blowbryer-punk-soul', 'Blowbryer Punk Soul']"
,
"['18921', 'blue-edmonson', 'Blue Edmonson']","['18920', 'blue-edmondson', 'Blue Edmondson']"
,
,
"['19092', 'bluesqueezebox', 'Bluesqueezebox']","['19091', 'bluesqueeze-box', 'Bluesqueeze Box']"
,
"['19235', 'bob-franceshini', 'Bob Franceshini']","['19234', 'bob-franceschini', 'Bob Franceschini']"
"['19324', 'bobby-blotzers-ratt-experience', 'Bobby Blotzers RATT Experience']","['19323', 'bobby-blotzer-s-ratt-experience', ""Bobby Blotzer's Ratt Experience""]"
"['19383', 'bobby-lee-rogers-trio', 'Bobby Lee Rogers Trio']","['19382', 'bobby-lee-rodgers-trio', 'Bobby Lee Rodgers Trio']"
"['19393', 'bobby-mahony-the-seventh-son', 'Bobby Mahony & The Seventh Son']","['19391', 'bobby-mahoney-the-seventh-son', 'Bobby Mahoney & The Seventh Son']"
"['19409', 'bobby-osborne-the-rocky-top-x-press', 'Bobby Osborne & The Rocky Top X-Press']","['19408', 'bobby-osborne-the-rocky-top-express', 'Bobby Osborne & The Rocky Top Express']"
"['19486', 'bodhaktan', 'Bodh\xe2\x80\x99aktan']","['19482', 'bodh-aktan', ""Bodh'aktan""]"
"['19551', 'bogtrotters-union', 'Bogtrotters Union']","['19550', 'bogtrotter-s-union', ""Bogtrotter's Union""]"
,
"['19746', 'bones-jugs-n-harmony', 'Bones Jugs N Harmony']","['19747', 'bones-jugs-and-harmony', 'Bones Jugs and Harmony']"
,
"['19791', 'bongoman-rick', 'Bongoman Rick']","['19790', 'bongo-man-rick', 'Bongo Man Rick']"
,
"['19941', 'boom-forrest', 'Boom Forrest']","['19940', 'boom-forest', 'Boom Forest']"
"['19949', 'boom-unity-brass-band', 'Boom Unity Brass Band']","['19948', 'boom-unit-brass-band', 'Boom Unit Brass Band']"
"['19995', 'bootie-sf', 'Bootie SF']","['19994', 'bootie-s-f', 'Bootie S.F.']"
"['20219', 'both-sides-of-the-story-acoustic-with-cody-canada', 'Both Sides of The Story Acoustic with Cody Canada']","['20218', 'both-sides-of-the-story-acoustic-w-cody-canada', 'Both Sides of The Story Acoustic w/ Cody Canada']"
,
,
"['20322', 'bowievision', 'BowieVision']","['20320', 'bowie-vision', 'Bowie Vision']"
"['20372', 'boy-better-kow', 'Boy Better Kow']","['20371', 'boy-better-know', 'Boy Better Know']"
"['20450', 'bozz-scaggs', 'Bozz Scaggs']","['20449', 'boz-scaggs', 'Boz Scaggs']"
"['174991', 'braidedveins', 'braidedveins']","['20603', 'braided-veins', 'Braided Veins']"
,
"['20679', 'brandi-carlisle', 'Brandi Carlisle']","['20678', 'brandi-carlile', 'Brandi Carlile']"
"['20707', 'brandon-calllies-band', 'Brandon Calllies Band']","['20706', 'brandon-callies-band', 'Brandon Callies Band']"
"['20819', 'branford-marsalis-saxophones', 'Branford Marsalis, saxophones']","['20818', 'branford-marsalis-saxophone', 'Branford Marsalis, saxophone']"
"['20849', 'brassens-not-dead', 'Brassens not dead']","['20848', 'brassen-s-not-dead', ""Brassen's Not Dead""]"
"['20855', 'brastracks', 'Brastracks']","['20854', 'brasstracks', 'Brasstracks']"
"['20877', 'brave-the-breakdown', 'Brave The Breakdown']","['20876', 'brave-the-brakdown', 'Brave The Brakdown']"
"['20878', 'brave-ulysses', 'Brave Ulysses']","['174995', 'brave-ullysses', 'brave ullysses']"
"['20971', 'breakdowns-at-tiffanys-and-more', 'Breakdowns At Tiffanys And More']","['20970', 'breakdowns-at-tiffany-s-and-more', ""Breakdowns At Tiffany's and More""]"
"['20992', 'breaking-benjamin', 'Breaking Benjamin']","['20991', 'breaking-bejamin', 'Breaking Bejamin']"
"['21140', 'brennen-leigh-noel-mckay', 'Brennen Leigh & Noel Mckay']","['21139', 'brennen-leigh-joel-mckay', 'Brennen Leigh & Joel McKay']"
,
,
"['21591', 'bridget-kearney-benjamin-lazar-davis', 'Bridget Kearney & Benjamin Lazar Davis']","['21590', 'bridget-kearney-banjamin-lazar-davis', 'Bridget Kearney & Banjamin Lazar Davis']"
"['21961', 'broken-heros', 'Broken Heros']","['21960', 'broken-heroes', 'Broken Heroes']"
,
"['22224', 'brothers-osborne', 'Brothers Osborne']","['22223', 'brothers-osborn', 'Brothers Osborn']"
"['22225', 'brothers-osbourne', 'Brothers Osbourne']","['22224', 'brothers-osborne', 'Brothers Osborne']"
"['22335', 'bruce-robison', 'Bruce Robison']","['22334', 'bruce-robinson', 'Bruce Robinson']"
"['22342', 'bruce-sundano', 'Bruce Sundano']","['22341', 'bruce-sudano', 'Bruce Sudano']"
"['22463', 'bryan-ellijah-smith', 'Bryan Ellijah Smith']","['22462', 'bryan-elijah-smith', 'Bryan Elijah Smith']"
"['22528', 'bryce-merritt', 'Bryce Merritt']","['22527', 'bryce-merrit', 'Bryce Merrit']"
